G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
-0.036701093462643934	0.08961404549816222	0.09422237252194268	-0.01780551140648805	-0.20588113603698338	0.2491916637698181	0.06724119483008952	-0.1278339955784222	0.08324226820703245	-0.35869888765896685
-0.22097501722336477	0.4445844474745826	0.18567857859247963	0.2387321851823615	0.15975048625007385	-0.4696969939056349	-0.339873343394164	0.25322776299809546	-0.3016516119169818	-0.03862341584715238
0.11149899213963246	-0.23274099984357774	-0.27474173741609315	0.22454543813145272	-0.485329869495337	-0.4599744292959924	-0.439404112598414	-0.21972250503642146	0.16311743827676303	0.16477571464519047
-0.5207333618921525	-0.11203026766839878	0.5255531817815488	0.10104609043174068	0.2811095367430439	-0.18623596278219254	-0.1595306719284952	-0.12881714012482268	-0.1545572218175549	-0.39382988252981727
-0.4560321833190943	0.036768884273342906	0.30397400288117715	0.30088031950660626	0.025950009330920277	-0.19955319907805746	0.016150771656726397	0.3121898429451454	-0.2505382720889267	0.31372401151436347
0.3049428854430767	0.2229865576749747	-0.16101552878469502	0.35420766867258957	-0.17859872502882665	0.17014057738596786	-0.2006968998382057	-0.11121693208060712	0.1323513030426224	0.2876086846584516
-0.41496780830196	-0.16944761072262335	-0.4629385222971571	-0.03346764825515922	-0.04676396556444813	-0.45961450820375377	0.12936462702766435	-0.16391458467136266	0.08075256426246301	-0.3453613275183237
0.23569447111138694	0.18121211381280364	-0.10227354149420255	0.5432653356650246	0.5206266575765266	-0.1981866565555784	-0.21291321063728627	-0.030114477449557454	-0.07543787051451836	-0.6786474580491213
-0.06803387267364894	0.13297485211160717	0.33350031292609855	-0.26059029482104673	-0.20444752190238247	0.1616710259278532	-0.2276405350717241	-0.2679518122315219	0.2949795547874778	-0.2345021170281671
0.29616336936703597	-0.0089544400481347	0.2569480083932806	-0.04849048979951968	0.20332794160803475	0.3372971261522204	0.3609053695177165	0.4302951613234554	0.07287614942027008	0.09634436390412995
