	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	Rep
808	0.0	0.0951347	0.5574551999999999	0.2701047	0.0767523	0.6595309	0.40362990000000004	0.1755711	0.7691600000000001	0.6640476	0.6921345	5
809	5.0	0.047018300000000006	0.5641281	0.1620219	0.10964280000000001	0.6736589	0.6400336	0.12600519999999998	0.6381489	0.7171056	0.5222962999999999	5
810	10.0	0.0714934	0.514897	0.1717389	0.11164760000000001	0.7081301999999999	0.5066008	0.0701896	0.5441314	0.6276393	0.5140527	5
811	15.0	0.05425069999999999	0.48361509999999996	0.2090252	0.12177470000000001	0.8497266	0.6209059	0.0997846	0.4951017	0.6111426999999999	0.4336818	5
812	20.0	0.0511885	0.49468370000000006	0.223767	0.1235904	0.7538883000000001	0.47552659999999997	0.0742492	0.6495392	0.5801626999999999	0.4673723	5
813	25.0	0.0686255	0.5882609000000001	0.23042089999999998	0.06849	0.7276783	0.5024221999999999	0.0804893	0.6134132	0.6167198	0.44862929999999995	5
814	30.0	0.0478236	0.4081935	0.2123143	0.1111914	0.6446665	0.4419795	0.048076	0.6558138000000001	0.6655749	0.3067479	5
815	35.0	0.023206599999999997	0.5898365	0.2186937	0.1405754	0.7896196	0.5039515	0.0621411	0.6192326	0.6349166	0.28669079999999997	5
816	40.0	0.024916499999999998	0.44298000000000004	0.18349649999999998	0.0642716	0.5845846	0.5640059000000001	0.0969098	0.7165231	0.5810926	0.2560142	5
817	45.0	0.0462915	0.3786535	0.1937866	0.1018695	0.6359821999999999	0.4809516	0.07869789999999999	0.6155090999999999	0.688549	0.20573579999999997	5
818	50.0	0.0414287	0.443841	0.22420189999999998	0.10339660000000002	0.6662859	0.5309504	0.0384906	0.5886073	0.5920708	0.2189791	5
819	55.0	0.0379151	0.4001375	0.264304	0.0774982	0.7526556	0.540979	0.0435324	0.5887465999999999	0.6902263000000001	0.19735339999999998	5
820	60.0	0.0258665	0.4304448	0.20041029999999999	0.0991592	0.7086013000000001	0.5152561	0.0534242	0.5844103	0.528911	0.20831370000000002	5
821	65.0	0.0153225	0.41854179999999996	0.1916984	0.1299872	0.66465	0.5054516	0.0116005	0.6734346	0.698654	0.2361884	5
822	70.0	0.0260334	0.3831927	0.2300337	0.1002855	0.6377050999999999	0.4804492	0.018401499999999998	0.6349629	0.6364380000000001	0.167496	5
823	75.0	0.061603599999999994	0.3436729	0.23954560000000003	0.11140610000000002	0.6753939	0.4327595	0.0222972	0.5519255	0.5886044	0.1885187	5
824	80.0	0.039203800000000004	0.3787008	0.24153850000000002	0.0900038	0.6353514	0.5474331	0.0251567	0.6060614000000001	0.6376651999999999	0.1564306	5
825	85.0	0.0122109	0.3629635	0.204253	0.07456360000000001	0.6776406	0.4780946	0.026939299999999996	0.6158733000000001	0.6616072	0.10927809999999999	5
826	90.0	0.015416299999999999	0.35498759999999996	0.29741540000000005	0.107268	0.7249182	0.4369228	0.024461	0.5770947	0.4954115	0.1570685	5
827	95.0	0.0242454	0.3726313	0.24841439999999998	0.0962324	0.7193066	0.4980187	0.0182087	0.4877873	0.560701	0.1166325	5
828	100.0	0.033875	0.3545047	0.24850250000000002	0.1059885	0.5977581999999999	0.4466057	0.0222002	0.48742959999999996	0.5748719	0.1341373	5
829	105.0	0.0331389	0.41668770000000005	0.263403	0.1112838	0.6532969	0.5575083000000001	0.0674655	0.5716513000000001	0.6078528	0.1248455	5
830	110.0	0.0301893	0.38859879999999997	0.2892597	0.1238028	0.6908859	0.5638337	0.026816500000000004	0.6259078	0.6831938	0.1278658	5
831	115.0	0.020872400000000003	0.26118979999999997	0.29140309999999997	0.1087867	0.7939385999999999	0.5537810000000001	0.05198099999999999	0.5131746	0.5716553000000001	0.1066132	5
832	120.0	0.0388304	0.38296620000000003	0.2808679	0.10707960000000001	0.6631471999999999	0.5303654000000001	0.0439101	0.5934504	0.5532285	0.0925411	5
833	125.0	0.051948	0.3643847	0.397378	0.1311769	0.6252626	0.5085862	0.0456869	0.5594509	0.5543716	0.071282	5
834	130.0	0.038103	0.4115795	0.3354775	0.0728342	0.6854874	0.5099682	0.0234278	0.6653836999999999	0.5717445	0.060629999999999996	5
835	135.0	0.0354688	0.3708947	0.3135469	0.08405900000000001	0.6702344	0.40961040000000004	0.0389025	0.5562020999999999	0.6621282	0.1016429	5
836	140.0	0.0433551	0.2684469	0.35558449999999997	0.1303896	0.5725628	0.5880962	0.028326799999999996	0.5742348	0.597571	0.0496935	5
837	145.0	0.0222551	0.42404179999999997	0.32717840000000004	0.0852507	0.6710928	0.5908645	0.0262599	0.5974368	0.5880196999999999	0.0683439	5
838	150.0	0.044478500000000004	0.3403203	0.3291595	0.0872495	0.7225444999999999	0.4001407	0.030654700000000003	0.5640927	0.758969	0.08017780000000001	5
839	155.0	0.057368499999999996	0.34929340000000003	0.36267659999999996	0.1258674	0.6619722	0.4439599	0.05467469999999999	0.6609847	0.7183892	0.0434782	5
